review_scores_rating,price,property_type,neighbourhood_cleansed,host_is_superhost,availability_30,availability_60,availability_90,instant_bookable,calculated_host_listings_count,reviews_per_month
98.0,571.0,Entire house,Noe Valley,t,10,40,62,f,1,1.96
96.0,56.0,Private room in apartment,Pacific Heights,t,30,60,90,f,9,0.96
100.0,361.0,Entire condominium,Haight Ashbury,f,23,53,83,f,2,0.03
100.0,57.0,Private room in apartment,Mission,t,1,1,1,t,9,0.13
90.0,69.0,Shared room in apartment,Mission,f,30,60,90,f,2,0.53
97.0,975.0,Entire house,Haight Ashbury,f,29,59,89,f,1,0.55
92.0,450.0,Entire apartment,Nob Hill,f,30,60,90,f,2,0.72
96.0,249.0,Entire loft,South of Market,f,8,38,68,f,1,1.68
95.0,82.0,Entire condominium,South of Market,t,5,35,65,f,1,0.41
100.0,69.0,Private room in apartment,Bernal Heights,f,30,60,89,f,2,0.03
95.0,110.0,Entire condominium,Noe Valley,f,0,0,0,f,1,2.58
94.0,35.0,Private room in house,Bayview,f,0,8,38,f,1,0.29
100.0,95.0,Entire apartment,Glen Park,t,6,13,38,f,2,0.13
95.0,900.0,Private room in apartment,Outer Mission,f,29,59,88,f,2,1.01
97.0,280.0,Private room in apartment,South of Market,t,30,60,89,f,2,0.21
97.0,110.0,Entire apartment,Marina,t,30,60,90,f,1,0.54
99.0,500.0,Entire apartment,Castro/Upper Market,t,0,0,0,f,1,0.2
100.0,178.0,Entire apartment,Bernal Heights,f,30,60,90,f,1,0.06
95.0,130.0,Private room in apartment,North Beach,t,30,60,90,f,1,0.41
99.0,257.0,Entire apartment,Lakeshore,t,16,41,69,f,1,3.36
96.0,79.0,Private room in house,Bernal Heights,t,30,60,90,t,1,2.71
95.0,80.0,Private room in house,Outer Mission,f,0,0,0,f,2,1.66
99.0,90.0,Private room in house,Bernal Heights,t,0,0,0,f,1,3.13
100.0,286.0,Entire apartment,Mission,f,0,0,0,f,3,0.22
97.0,240.0,Entire apartment,Mission,f,28,58,88,f,1,0.3
93.0,95.0,Private room in guest suite,Mission,t,30,60,90,f,2,4.11
97.0,136.0,Entire house,Mission,t,0,0,0,f,2,0.07
96.0,506.0,Entire apartment,Noe Valley,f,30,60,90,f,1,0.71
94.0,139.0,Private room in apartment,Inner Sunset,f,29,59,88,t,2,0.08
99.0,395.0,Entire house,Castro/Upper Market,t,0,0,0,f,1,0.62
98.0,165.0,Entire guest suite,Haight Ashbury,t,0,8,38,f,1,4.09
97.0,175.0,Entire guest suite,Mission,t,22,22,22,f,1,2.64
86.0,35.0,Private room in house,Excelsior,f,0,0,0,f,12,0.18
